League,Start Time,Game,Pick Desc,Type,Period,Odds,Odds/Spread/Total,Result,Units Wagered,Units Net,Money Wagered,Money Net,
epl,2024-12-01T13:30:00.000Z,FUL @ TOT,FUL @ TOT: u3.5 -130,under,game,-130,3.5,win,1.3,1,13,10,
ligue1,2024-12-01T14:00:00.000Z,LIL @ MHS,LIL @ MHS: o2.5 -120,over,game,-120,2.5,win,1.8,1.5,18,15,
nfl,2024-12-01T18:00:00.000Z,SEA @ NYJ,,custom,game,-113,57.5,win,1.5,1.3274,15,13.2743,
nfl,2024-12-01T18:00:00.000Z,HOU @ JAC,,custom,game,-113,85.5,win,1.5,1.3274,15,13.2743,
nfl,2024-12-02T01:20:00.000Z,SF @ BUF,,custom,game,-113,63.5,loss,2,-2,20,-20,
seriea,2024-12-02T19:45:00.000Z,ATA @ ROM,ATA @ ROM: o2.5 -120,over,game,-120,2.5,loss,1.2,-1.2,12,-12,
laliga,2024-12-02T20:00:00.000Z,OSA @ SEV,OSA @ SEV: o2.25 -115,over,game,-115,2.25,loss,0.55,-0.55,5.5,-5.5,
laliga,2024-12-03T18:00:00.000Z,BAR @ MAL,(Live) BAR -176,ml_away,game,-176,-176,win,2,1.1364,20,11.3636,
nba,2024-12-04T00:00:00.000Z,MIL @ DET,,custom,game,-105,15.5,loss,1,-1,10,-10,
nba,2024-12-04T00:30:00.000Z,ORL @ NYK,,custom,game,-110,11.5,loss,1,-1,10,-10,
ncaab,2024-12-04T02:00:00.000Z,MISS @ LOU,MISS +4.5 -146,spread_away,game,-146,4.5,win,2.92,2,29.2,20,
ncaab,2024-12-04T23:30:00.000Z,BAY @ CONN,CONN -160,ml_home,game,-160,-160,win,3.2,2,32,20,
ncaab,2024-12-05T00:15:00.000Z,ALA @ UNC,ALA +105,ml_away,game,105,105,win,1,1.05,10,10.5,
ncaab,2024-12-05T01:30:00.000Z,KU @ CREI,KU -4 -110,spread_away,game,-110,-4,loss,1.1,-1.1,11,-11,
ncaab,2024-12-05T02:15:00.000Z,AUB @ DUKE,AUB +3.5 -110,spread_away,game,-110,3.5,loss,1.1,-1.1,11,-11,
epl,2024-12-05T20:15:00.000Z,TOT @ BOU,TOT PK -120,spread_away,game,-120,0,loss,1.2,-1.2,12,-12,
epl,2024-12-05T20:15:00.000Z,TOT @ BOU,,custom,game,-130,1.5,loss,1.95,-1.95,19.5,-19.5,
ncaab,2024-12-05T23:30:00.000Z,PUR @ PSU,PUR +1.5 -110,spread_away,game,-110,1.5,loss,1.5,-1.5,15,-15,
nfl,2024-12-06T01:15:00.000Z,GB @ DET,,custom,game,-121,68.5,loss,1,-1,10,-10,
